"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"mds1",0.583203990036119,0.532606572937515,0.586749382503739,0.558369526442585,0.520322322605005,0.624688652147602,0.739757735379437,0.693959948140264,0.654279619989896,0.610517729967164,0.578732739615802,0.598101786047997,0.629705036333309,0.587268074663722,0.576574216243358,0.548122179695795,0.607567849088755,0.647555305466674,0.675582809067652,0.676395269888233,0.654204084631618,0.620779311480223,0.592476654644032,0.571103932156018,0.561504542554359,0.541298763344726,0.54048035466471,0.53278908701352,0.491811320573474,0.578500791931851,0.649703039893239,0.694534760405287,0.708659668947841,0.708278818723227,0.695931406998765,0.69087928736841,0.688794546062049,0.712023347140988,0.745933098186799,0.765069917375043,0.788675750221,0.788611360063637,0.77710245448868,0.768335975966011,0.779116948787712,0.780630755572608,0.786109356528568,0.792983714949634,0.801979335052725,0.803544563731042
"mds1",0.583203990036119,0.590767997127138,0.640793040655569,0.57665869705198,0.644175366499815,0.655085926241379,0.6326630778686,0.601322268282633,0.56396471411106,0.515872697207058,0.482250514115923,0.477867228999673,0.501797737978579,0.477230549581931,0.45765235980759,0.481469208281382,0.490590235446075,0.467672989481042,0.487310147473368,0.467420180170948,0.471938743762755,0.47665507752581,0.488950538269147,0.528055187526923,0.580808126952656,0.600155564530431,0.661118539685738,0.611263130559691,0.57985409152901,0.598090393891074,0.583099158313946,0.584078137441743,0.563708177682861,0.539649043701328,0.560831110131439,0.615292833279126,0.630147043988612,0.651427759567091,0.67308033007771,0.66042673719725,0.680028949231387,0.68015719239536,0.66773652067578,0.682314400276893,0.696057899411427,0.695825026579948,0.680266937833872,0.664632650951555,0.642977306108898,0.626975387536718
"mds1",0.583203990036119,0.639567520956662,0.657490724564336,0.659283624542739,0.724022974371928,0.805505315083173,0.780528304850241,0.72429347052857,0.656995478384452,0.706520041841057,0.650929285713876,0.566847802933693,0.563064986751692,0.592891050991931,0.592310539170122,0.634094300986228,0.632707630423746,0.673686372606797,0.671795092100837,0.645174801843165,0.627016460867914,0.609694404152919,0.623786325610382,0.614508773998992,0.609387110237485,0.619642403450759,0.651902319330268,0.656157808255528,0.765262827635023,0.759580302249738,0.727087756442704,0.755329499214318,0.718089247470615,0.714112282066062,0.745872945188125,0.759399136979244,0.75394950266721,0.754737346642268,0.756952848703281,0.756866866007175,0.758617459796535,0.776290505678726,0.793209712221363,0.804778820850797,0.814267546417155,0.820547304468902,0.825422061203502,0.826406211787745,0.822511549224046,0.816647949677521
"mds1",0.583203990036119,0.683740145364136,0.630460594822491,0.672264729342312,0.611585966495206,0.585620461291506,0.527526433707539,0.475895484417433,0.460371285828956,0.468085912374986,0.46698624222135,0.483300281275568,0.474933458815703,0.447850415827811,0.49791250260656,0.565129388090173,0.590834711838629,0.630038968564987,0.656262133160351,0.669203983010053,0.65620081768308,0.629049702407509,0.62053659715417,0.612940506452584,0.600897221463043,0.585632630747384,0.55208953974278,0.540098936905451,0.575447626232378,0.648171708973371,0.655588821099195,0.660703516380251,0.665820266331413,0.66154117825738,0.674008381503785,0.650494813642797,0.642321765794166,0.657740641276732,0.681272601536436,0.683966878798135,0.680768424302965,0.672068127242225,0.674323646572721,0.683329960596999,0.693716785487138,0.707606753741214,0.726595788377111,0.734099743464972,0.740561979105985,0.748349222878617
"mds1",0.583203990036119,0.597183460131695,0.662310756908808,0.700346828606712,0.699398035708132,0.724826936654355,0.741351955772308,0.71562387662778,0.664583959797772,0.676140583347249,0.682034686178357,0.683291294680154,0.703733115841705,0.712140954219187,0.685757789194389,0.682378274194691,0.679752016048631,0.692462121606229,0.71175329415454,0.670291400375846,0.694542832152856,0.693201614077785,0.684332111507286,0.680007805117153,0.691173054747129,0.695475902643354,0.70878915591793,0.721540429793648,0.75165738610557,0.789051348146809,0.81552133617787,0.770950290133181,0.811229700115882,0.809685832560187,0.824069684866972,0.824755691071236,0.845724479889099,0.858936282820981,0.873345701509716,0.868041737195364,0.852474351845786,0.839477515584462,0.83121701572436,0.825707466246975,0.827328604034469,0.831624782127476,0.835978133697045,0.833934350723063,0.827081398246611,0.81744420663916
"mds1",0.583203990036119,0.641743180646385,0.667145547745784,0.572105532524115,0.620790944287023,0.485649881669626,0.558031387981812,0.503924522012823,0.510551840186354,0.538607291744234,0.519714755561354,0.573523623986574,0.638363870842219,0.634692762059158,0.593449283817559,0.575529119492714,0.604466616225443,0.607939994239982,0.615267850894335,0.594168043916152,0.60918174450693,0.632588946048063,0.657391386064929,0.686406166972466,0.713198002544669,0.709855116244522,0.719483147909943,0.676851223690064,0.66716021942136,0.683923340137614,0.710014812779774,0.716487239517593,0.703266571549233,0.695888799238867,0.69527236873735,0.698117665279169,0.702785567375698,0.709500030146362,0.720818285232432,0.734239050700833,0.738014521008611,0.748606050504896,0.755805358975662,0.763030293216755,0.77260204829536,0.78306395387635,0.790781957950573,0.800194692859424,0.810051693992692,0.816510998776924
"mds1",0.583203990036119,0.586106330241122,0.667057945452737,0.729994010680866,0.701742595072844,0.703865008384109,0.675894057234965,0.683938791373112,0.649825818278822,0.630419482880957,0.611237087088757,0.671692648533139,0.749828348121498,0.716186192674029,0.686376434170674,0.674269109902557,0.685860511898544,0.701176695044603,0.702331021304791,0.700716332385698,0.704738297735251,0.708309767848922,0.711459915110662,0.724902774798909,0.734921577395819,0.720890269356635,0.758390200329905,0.814979553701959,0.780001153986101,0.719873950979749,0.774720343449955,0.814454079653628,0.80229669575514,0.817120701056906,0.812417687382847,0.820996031524377,0.840808132400814,0.864959750376946,0.87098203070127,0.869720650815109,0.862683448918063,0.871005214259938,0.874865639604793,0.873638650746003,0.873788821954984,0.874994197249233,0.876624788345707,0.877477579903279,0.877641881830234,0.877550961901141
"mds1",0.583203990036119,0.680680458240999,0.628685118518217,0.557932131296805,0.622604157282949,0.56700162888174,0.516492435254447,0.604674420396926,0.626647488327421,0.655515335321693,0.689743570973914,0.682404140723195,0.649905052382992,0.653518332069957,0.687298136425386,0.715676550905789,0.731435250691286,0.752156517054693,0.75424994863483,0.741284748453158,0.741989418823873,0.757836499508685,0.749753958821377,0.735935547455333,0.725687922234273,0.739530228211486,0.778145208803206,0.789487124096737,0.787658388970706,0.789387018728539,0.773661853088122,0.751562098578505,0.770219290798131,0.800607920600052,0.82238243260945,0.839266130233598,0.851823231139193,0.86304283454659,0.870062740258333,0.872709850408727,0.873599741855355,0.871393184304206,0.868623346088715,0.870957161443708,0.872469950203742,0.873407654746918,0.869819755055939,0.866389475546641,0.863610655329276,0.860762311544821
"mds1",0.583203990036119,0.63007731095922,0.692248930321474,0.728774839213603,0.739201069444854,0.805221461000519,0.865007613595595,0.838097148717142,0.818154790688824,0.808452003755502,0.80215268951592,0.798439722610891,0.800573568575448,0.80413904062284,0.807489171084698,0.814567759630347,0.822347921044288,0.827626285187735,0.838982229210319,0.847957575425335,0.856368775107155,0.862015486270014,0.868346827539113,0.872014921126058,0.874475161130655,0.878360366955931,0.883552330642473,0.871675130715395,0.865740814577347,0.871185869333441,0.890379289227632,0.897160786463882,0.89522455546183,0.897949858837037,0.900099882351446,0.904499425775239,0.905893204706045,0.908993882100767,0.911085654873107,0.912436462977024,0.913256665188925,0.913354855133344,0.912852562295239,0.911621039563796,0.912489405583149,0.914171341926475,0.915922910929997,0.91762176286668,0.919382778099664,0.920802002350859
"mds1",0.583203990036119,0.741223901351803,0.695259387341692,0.629511414285367,0.694607632401068,0.713890788727385,0.72185578219464,0.704194546676469,0.678774301274256,0.683762824319613,0.718222603622968,0.721725250261407,0.717015552962707,0.699191218672154,0.704923850061797,0.732051984797658,0.762245520321462,0.784375668697907,0.803073566085021,0.816403523490846,0.82748079223316,0.839361757226194,0.851291103484421,0.855823577878882,0.857763396980664,0.860698025353087,0.846309839272678,0.826404552688752,0.832488631640518,0.845658078032585,0.841752481881292,0.841156541928025,0.844295625807994,0.843979404240388,0.845435036865233,0.851893300971132,0.859033780685777,0.864323120193765,0.86898018092465,0.873285797498708,0.877867179230649,0.882397230499339,0.886360494501912,0.890171105422566,0.894443184455906,0.898946459754908,0.902629331264071,0.905923675710989,0.908599756574052,0.910118006818102
"mds1",0.617479476471045,0.565398463954086,0.523973421781057,0.475918224582944,0.491931755126202,0.488264474709466,0.503124854144356,0.602993955152644,0.631581255017968,0.657468726270826,0.685263339262307,0.72531446539053,0.708315632700439,0.67152312413305,0.65483346567806,0.643575367741438,0.658673287757008,0.659515462419733,0.63624910020246,0.635317830409094,0.649371618859776,0.655325814026776,0.632886816914575,0.614184636668871,0.610404324081314,0.603407145455321,0.627995018756585,0.64337886963084,0.668818063187383,0.698021974712762,0.724486289645439,0.709010547769201,0.712191538258957,0.730391951229503,0.730219508937659,0.753084755488861,0.740133124684958,0.746546901098985,0.75426162675609,0.744166663102286,0.744326608661345,0.743764106887874,0.759188031448269,0.782772750839271,0.798255353066713,0.802441718894205,0.788877720238008,0.771518639430995,0.756680838736324,0.743120513364403
"mds1",0.617479476471045,0.533419661753424,0.602774891505528,0.631852190953548,0.539277260809792,0.543850427009526,0.536600943896842,0.559797844418786,0.530896593827932,0.557757364326146,0.552789536957053,0.502980572258269,0.435030517260823,0.477757550785298,0.508403752716298,0.552423032853778,0.578326109526243,0.575584331263578,0.570081302919035,0.548206009782866,0.530161921196939,0.508886080514487,0.484900803217549,0.462305501041926,0.434120809653607,0.402008151547424,0.311133806883581,0.23852950932877,0.226376668979761,0.240265484231289,0.257676624414217,0.258642830794049,0.283449888361359,0.283126169862524,0.280255935670433,0.288990303277264,0.298614678194897,0.307037359003932,0.314151897444473,0.32384844715261,0.324890564624244,0.318144655027598,0.304566219601028,0.279120339070532,0.259312661427642,0.25031174123237,0.24024628225536,0.230636864153856,0.222524003602694,0.214966009598241
